pr_purchaserequisition,pr_itemnumber,pr_documenttype,pr_creationdate,pr_createdby_name,pr_approvalstatus,pr_approveddate,pr_processingstatus,pr_companycode,pr_companycodedesc,pr_plant,pr_plantdesc,pr_orderqty,pr_unitofmeasure,pr_closedindicator,pr_deletionindicator,pr_recordskipindicator,pr_lastchangedatetime,pr_silver_load_date,pr_silver_load_timestamp,purchaseorder,po_itemnumber,po_purchaserequisition,po_serialnumber,po_returnsitem,po_purchasingdoctype,po_purchasingdoctypedesc,po_purchasingdocdate,po_deletionindicator,po_purchasingorg,po_purchasingorgdesc,po_companycode,po_companycodedesc,po_purchasinggroup,po_purchasinggroupdesc,po_vendornumber,po_vendorname,po_vendoraccountgroup,po_vendoraccountgroupdesc,po_supplierclassification,po_countrykey,po_localorinternational,po_plant,po_plantdesc,po_storageloc,po_createdon,po_createdby_name,po_documentyear,po_accountassignmentcat,po_accountassignmentcatdesc,po_accntassignmentcatvaluedesc,po_version,po_processingstatuscode,po_processingstatus,po_postingdate,po_approvaldate,po_deliverydate,po_paymentdate,material,materialdesc,materialgroup,materialgroupdesc,materialtype,materialtypedesc,po_orderquantity,po_unitofmeasure,po_netamount,po_recordskipindicator,po_lastchangedatetime,po_silver_load_date,po_silver_load_timestamp,pr_to_po_ageing,pr_approval_ageing,po_approval_ageing,sla_breach_flag,pr_cycle_sla_breach_flag,po_cycle_sla_breach_flag,record_type,gold_load_date,gold_load_timestamp
2000126351,00480,ZNPR,2023-08-14,Tobi Emmaunel,Approved,2023-08-15,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,2,PAK,null,null,null,null,2025-11-24,2025-11-24T19:24:18.246Z,4500229324,00480,2000126351,24378,null,ZLPO,Local PO,2023-10-10,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,215,Tobi Emmaunel,1000019459,Maktabi Alhadeth Limited Co,Group A,Domestic Vendors/Sub-Contracto,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-10-10,Kazem Moustafa Badr Mohamed,2023,K,Cost center,ABC - LAG Division,00000001,05,05-Approved,2023-11-15,2023-10-19,2023-10-22,null,4000000040,"SIGN PEN, PILOT V-SIGN, BLACK, 12 PCS/PA",G121130,Stationery Expenses,NLAG,Non-Stock Materials,2,PAK,62.72,null,null,2025-11-24,2025-11-24T19:24:13.818Z,41,2,8,YES,NO,YES,PR_PO_MATCHED,2025-11-24,2025-11-24T19:32:18.832Z
2000130460,00050,ZNPR,2023-09-09,Christian PAT,Approved,2023-09-14,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,50,PAK,null,null,null,null,2025-11-24,2025-11-24T19:24:18.246Z,4500230817,00050,2000130460,24573,null,ZLPO,Local PO,2023-10-17,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,1000019762,Al Falah Advanced Trading,Group A,Domestic Vendors/Sub-Contracto,External,GH,International,9900,ABC Logistics Limites - LAGOS,1002,2023-10-17,Javed Ahmed Khan,2023,null,null,null,00000000,05,05-Approved,2023-10-25,2023-10-18,2023-10-21,null,100000075426,"""BLADE, JIGSAW, NO. B 16 """"MAKITA"""" A-85684""",M031500,Accessories & Consumables,ZCON,Consumables,50,PAK,710.5,null,null,2025-11-24,2025-11-24T19:24:13.818Z,24,5,2,YES,YES,NO,PR_PO_MATCHED,2025-11-24,2025-11-24T19:32:18.832Z
2000126540,00010,ZNPR,2023-08-15,Christian PAT,Approved,2023-08-19,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,20,PAA,null,null,null,null,2025-11-24,2025-11-24T19:24:18.246Z,4500223373,00010,2000126540,23380,null,ZLPO,Local PO,2023-09-16,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,1000019613,Yanbu Safety and Security,Group A,Domestic Vendors/Sub-Contracto,External,GH,International,9900,ABC Logistics Limites - LAGOS,1002,2023-09-16,Javed Ahmed Khan,2023,null,null,null,00000000,05,05-Approved,2023-09-01,2023-09-18,2023-09-23,null,100000074035,"SAFETY SHOES, LABOUR, SIZE: 40",G131160,Safety Shoes,ZCON,Consumables,20,PAA,764.4,null,null,2025-11-24,2025-11-24T19:24:13.818Z,20,3,2,YES,YES,NO,PR_PO_MATCHED,2025-11-24,2025-11-24T19:32:18.832Z
2000126351,00180,ZNPR,2023-08-14,Tobi Emmaunel,Approved,2023-08-15,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,24,NO,null,null,null,null,2025-11-24,2025-11-24T19:24:18.246Z,4500229324,00180,2000126351,24349,null,ZLPO,Local PO,2023-10-10,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,215,Tobi Emmaunel,1000019459,Maktabi Alhadeth Limited Co,Group A,Domestic Vendors/Sub-Contracto,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-10-10,Kazem Moustafa Badr Mohamed,2023,K,Cost center,ABC - LAG Division,00000001,05,05-Approved,2023-11-15,2023-10-19,2023-10-22,null,4000012194,CORRECTION PEN (12 PCS/PACK),G121130,Stationery Expenses,NLAG,Non-Stock Materials,24,NO,41.16,null,null,2025-11-24,2025-11-24T19:24:13.818Z,41,2,8,YES,NO,YES,PR_PO_MATCHED,2025-11-24,2025-11-24T19:32:18.832Z
2000137276,00130,ZNPR,2023-10-14,Christian PAT,Approved,2023-11-01,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,100,PAK,null,null,null,null,2025-11-24,2025-11-24T19:24:18.246Z,4500234397,00130,2000137276,25495,null,ZLPO,Local PO,2023-11-01,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,1000020481,Professional Trading Est.,Group A,Domestic Vendors/Sub-Contracto,External,GH,International,9900,ABC Logistics Limites - LAGOS,1002,2023-11-01,Javed Ahmed Khan,2023,null,null,null,00000000,05,05-Approved,2023-11-15,2023-11-07,2023-11-09,null,100000075096,"DRILL BIT, SDS, SIZE: 16MM",M031500,Accessories & Consumables,ZCON,Consumables,25,NO,266.78,null,null,2025-11-24,2025-11-24T19:24:13.818Z,1,14,5,NO,YES,YES,PR_PO_MATCHED,2025-11-24,2025-11-24T19:32:18.832Z
2000126351,00120,ZNPR,2023-08-14,Tobi Emmaunel,Approved,2023-08-15,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,10,PAK,null,null,null,null,2025-11-24,2025-11-24T19:24:18.246Z,4500229324,00120,2000126351,24343,null,ZLPO,Local PO,2023-10-10,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,215,Tobi Emmaunel,1000019459,Maktabi Alhadeth Limited Co,Group A,Domestic Vendors/Sub-Contracto,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-10-10,Kazem Moustafa Badr Mohamed,2023,K,Cost center,ABC - LAG Division,00000001,05,05-Approved,2023-11-15,2023-10-19,2023-10-22,null,4000000171,"BINDER CLIP, 32MM",G121130,Stationery Expenses,NLAG,Non-Stock Materials,10,PAK,19.6,null,null,2025-11-24,2025-11-24T19:24:13.818Z,41,2,8,YES,NO,YES,PR_PO_MATCHED,2025-11-24,2025-11-24T19:32:18.832Z
2000130460,00020,ZNPR,2023-09-09,Christian PAT,Approved,2023-09-14,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,300,NO,null,null,null,null,2025-11-24,2025-11-24T19:24:18.246Z,4500230817,00020,2000130460,24570,null,ZLPO,Local PO,2023-10-17,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,1000019762,Al Falah Advanced Trading,Group A,Domestic Vendors/Sub-Contracto,External,GH,International,9900,ABC Logistics Limites - LAGOS,1002,2023-10-17,Javed Ahmed Khan,2023,null,null,null,00000000,05,05-Approved,2023-10-25,2023-10-18,2023-10-21,null,100000075764,"""CUTTING DISC, STEEL, SIZE: 7.0"""" (175 MM)""",M031500,Accessories & Consumables,ZCON,Consumables,300,NO,1470,null,null,2025-11-24,2025-11-24T19:24:13.818Z,24,5,2,YES,YES,NO,PR_PO_MATCHED,2025-11-24,2025-11-24T19:32:18.832Z
2000126351,00080,ZNPR,2023-08-14,Tobi Emmaunel,Approved,2023-08-15,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,2,PAK,null,null,null,null,2025-11-24,2025-11-24T19:24:18.246Z,4500229324,00080,2000126351,24339,null,ZLPO,Local PO,2023-10-10,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,215,Tobi Emmaunel,1000019459,Maktabi Alhadeth Limited Co,Group A,Domestic Vendors/Sub-Contracto,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-10-10,Kazem Moustafa Badr Mohamed,2023,K,Cost center,ABC - LAG Division,00000001,05,05-Approved,2023-11-15,2023-10-19,2023-10-22,null,4000012160,"BALL PEN, RED (12 PCS/PACK) PILOT BRAND",G121130,Stationery Expenses,NLAG,Non-Stock Materials,2,PAK,19.99,null,null,2025-11-24,2025-11-24T19:24:13.818Z,41,2,8,YES,NO,YES,PR_PO_MATCHED,2025-11-24,2025-11-24T19:32:18.832Z
2000137276,00020,ZNPR,2023-10-14,Christian PAT,Approved,2023-11-01,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,50,NO,null,null,null,null,2025-11-24,2025-11-24T19:24:18.246Z,4500234397,00020,2000137276,25484,null,ZLPO,Local PO,2023-11-01,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,1000020481,Professional Trading Est.,Group A,Domestic Vendors/Sub-Contracto,External,GH,International,9900,ABC Logistics Limites - LAGOS,1002,2023-11-01,Javed Ahmed Khan,2023,null,null,null,00000000,05,05-Approved,2023-11-15,2023-11-07,2023-11-09,null,100000075805,"DRILL BIT, FLAT FOR WOOD, SIZE: 20 X 150",M031500,Accessories & Consumables,ZCON,Consumables,50,NO,856.63,null,null,2025-11-24,2025-11-24T19:24:13.818Z,1,14,5,NO,YES,YES,PR_PO_MATCHED,2025-11-24,2025-11-24T19:32:18.832Z
2000126351,00240,ZNPR,2023-08-14,Tobi Emmaunel,Approved,2023-08-15,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,2,PAK,null,null,null,null,2025-11-24,2025-11-24T19:24:18.246Z,4500229324,00240,2000126351,24355,null,ZLPO,Local PO,2023-10-10,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,215,Tobi Emmaunel,1000019459,Maktabi Alhadeth Limited Co,Group A,Domestic Vendors/Sub-Contracto,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-10-10,Kazem Moustafa Badr Mohamed,2023,K,Cost center,ABC - LAG Division,00000001,05,05-Approved,2023-11-15,2023-10-19,2023-10-22,null,4000012207,"FLUORESCENT MARKER (HIGHLIGHTER), BLUE (",G121130,Stationery Expenses,NLAG,Non-Stock Materials,2,PAK,35.28,null,null,2025-11-24,2025-11-24T19:24:13.818Z,41,2,8,YES,NO,YES,PR_PO_MATCHED,2025-11-24,2025-11-24T19:32:18.832Z
